,Sentence,Sentiment
59,recent technolog deliveri includ refineri technolog anrak aluminium iron ore pellet plant tata steel iron ore sinter plant bhushan steel,neutral
60,vip similar pattern like begin may you sell nowwil go much higher drop,positive
61,firm gener sale 187 mln eur 2005,neutral
62,stora enso also meet labor author employ econom develop centr repres govern order find solut,neutral
63,astrazeneca profit sale stalwart fade,negative
64,rt andrewnyquist chartolog yahoo yhoo crazi look chart near breakout resist line,positive
65,bullish stock twitter dip yhoo gdx googl stz gold ew vz celg sbux scti,positive
66,finnish geosentr net sale decreas eur 939000 januarymarch 2009,negative
67,cohen steer inc 5 534 626 share repres 4985 share capit vote right,neutral
68,staff recruit japan complement network close 50 servic locat 20 countri worldwid,positive
69,paper compani neg territori stora enso r shed 162 pct 1273 eur upmkymmen 080 pct 1864 eur mreal b 018 pct lower 557 eur,neutral
70,kaukotelko central administr dissolv appropri part transfer oper activ group administr end year,neutral
71,oper profit quarter apriljun 2006 amount eur182 2 sale eur3 62 bn,neutral
72,atria chose delight attract consum 2545 age group atria fresh rang microwav meal,neutral
73,finnish solut provid affecto oyj hel afe1v said today slip net loss eur 115000 usd 152000 second quarter 2010 profit eur 845000 correspond period year earlier,neutral
74,us sanction put gazpromshel allianc plan jeopardi,negative
75,profit period eur 109 mn eur 143 mn 2009,neutral
76,profit period eur 59 mn eur 13 mn,positive
77,oper profit fell eur 203 mn eur 742 mn second quarter 2008,neutral
78,howev sale return growth apriljun 2010 ceo pekka eloholma said,positive
79,oper profit total eur 186 mn 83 net sale,neutral
80,chang market situat tougher price competit substanti reduc demand bread packag manufactur kauhava plant accord compani,negative
81,connect deal digia employ 19 person nokia oslo silicon valley usa,neutral
82,brazilian unit finnish secur solut provid fsecur sign 1500 new client last year onlin news sourc resel web quot divis commerci director vladimir brandúo say,positive
83,fair valu compani invest properti went eur 2768 billion end 2009 eur 2916 billion year earlier,neutral
84,dealer said share larg hit investor disappoint refin margin 948 usd per barrel quarter perform ship unit saw ebit drop 5 mln eur 20 mln eur year amid fall volum tanker rate,negative
85,testament qualiti lte solut commit japanes market ad,neutral
86,compani aim final negoti sign contract start octob 2008,neutral
87,metso foundri jyvaskyla oy discontinu product line 30 septemb 2008 compani said,neutral
88,total six poll analyst rate mreal two gave buy accumul three gave hold one gave sell,neutral
89,septemb 2010 finnish group agre buy danish compani rose poultri eur23 9 combin cash stock,positive
90,yang doubl bottom 52,positive
91,tesco share price grocer face sfo investig outcom,negative
92,aapl news becom bullish,positive
93,gs engin instal valv liquefi natur ga lng plant built uae lng extract ga plant oper gasco ruwai uae,neutral
94,percentag share vote right calcul proport total number share regist trade regist total number vote right relat,neutral
95,mreal said ground rumor circul market month,neutral
96,lember said matter topic also estonia bill draft social affair ministri would scrap oldag pension favor condit,neutral
97,moodi said gave p a1 longterm senior unsecur p p1 shortterm debt rate finnish lender aktia bank eur1bn usd1 4 bn euro mediumterm note emtn program 25 march 2011,neutral
98,tsla recal,negative
99,liquid provid interrupt may 11 2007 aspocomp group oyj share trade 050 cent aspocomp stock exchang releas 1152007,neutral
100,hargreav lansdown buck weak market see asset rise 26 percent,positive
101,1259 pm omx helsinki 25 index 032 pct lower 269481,negative
102,decis mean temporari layoff fix durat compani nastola jyvaskyla unit southern central finland respect,neutral
103,valu order eur 10mn,neutral
104,ms laakso respons hkscan hr function develop group smarket area,neutral
105,fiskar also engag global suppli marin energi equip solut servic associ compani wartsila corpor,neutral
106,aberdeen asset manag gain foothold china,positive
107,finland domin rail compani vr plan set infect passeng longdist trip separ carriag,neutral
108,novemb finnish govern decreas ownership compani 311 percent 38 percent,neutral
109,finnish exel composit technolog compani design manufactur market composit profil tube variou industri applic report net sale decreas 06 second quarter 2010 eur 192 mn eur 193 mn correspond period 2009,neutral
110,bavelloni nst joint ventur bavelloni tool complet semiproduct produc itali highqual tool sold diapol brand,neutral
111,tool patent pend design allow consum lay entir project remov plate use multipl clear stamp kind,neutral
112,googl short 740 upper bb overbought,negative
113,light curfew curl latest bestsel treat eye perfect read light luceplan,neutral
114,upmkymmen corp world largest maker magazin paper tuesday report 19percent profit drop lower paper price higher cost strong euro hurt revenu,negative
115,total valu contract eur 8 million,neutral
116,prerequisit inclus program receipt gain key employe acquir aspo share amount determin board advanc maximum,neutral
117,mr dore eaton sinc 1989 act busi unit manag eaton power control busi unit sinc januari 2007,neutral
118,250 sq 2691 sq ft store copenhagen premier shop district inaugur today strengthen compani presenc nordic capit,positive
119,financi statement first quarter 2010 tikkurila report discontinu oper,neutral
120,world second largest stainless steel maker said net profit threemonth period dec 31 surg euro603 million us 781 million euro3 33 us 431 per share euro172 million euro0 94 per share previou year,positive
121,name applic jot autom oynam inventor mammila tuomo piirainen mika kellokoski mikaappl 2424kolnp2008 adat file applic 16062008public date 30012009,neutral
122,netflix grow effort creat loyal custom nflx,positive
123,omx nordic 40 omxn40 index compris 40 trade nordic stock nasdaq omx exchang close 087 106414 point thursday,negative
124,aapl nibbl small long via 525 buy 13min chart,positive
125,oper margin aker yard cruis ferri divis went 83 64 first quarter 2007,negative
126,tyc break new high lot technic look great right,positive
127,eero katajavuori current group vice presid human resourc take yearlong sabbat start octob 1 2010,neutral
128,what lulu number look good great good think confer call instil confid,neutral
129,adjust measur carri phase secur deliveri capabl,neutral
130,alma media corpor press releas 15 march 2010 tyrvaan sanomat paikallissanomat bought suomen paikallissanomat two local paper tyrvaan sanomat paikallissanomat appear sastamala neighbour municip bought suomen paikallissanomat oy,neutral
131,temporari layoff affect entir workforc also implement,negative
132,meet media analyst held day 1030 stonesoft headquart helsinki italahdenkatu 22 interim report present stonesoft ceo ilkka hiidenheimo,neutral
133,finnish samporosenlew manufactur approxim seven forest machin monthli half machin export,neutral
134,facebook near buy point last week face differ technic test today fb aapl nflx,positive
135,4 februari 2011 finnish broadband data commun system provid telest oyj hel tlt1v said wednesday net profit rocket eur4 8 2010 eur416 000 2009 lift dividend propos,positive
136,free ha heeeeeer come pump glad pick 9k end day get readi bull ride,positive
137,finnish technolog group aspocomp group oyj omx helsinki acg1v issu third quarter report thursday 13 novemb post oper profit eur0 4 compar loss eur0 5 third quarter 2007,positive
138,build complex consist highqual offic retail space total 49200 squar metr compani said,neutral
139,finnish insur compani fennia kesko group end loyal custom cooper,neutral
140,unit plan oper second half 2007 full stream 2008,neutral
141,itg share deal estim 500000 euro 627000,neutral
142,plant expect enter commerci oper mid2009,neutral
143,aspo also investig sale opportun kaukomarkkinat electron busi,neutral
144,bg group appoint new ceo one month earli,neutral
145,acquisit immedi posit impact aspocomp financi result,positive
146,finnair passeng load factor measur number sold seat share avail seat drop 13 percentag point 767 septemb,negative
147,rt bman1 lng look prime also eght pois run,positive
148,also 77 pct 12month volum weight averag price stock,positive
149,coke dividend 3 googl dividend 0 passiv incom coke take goog ko,neutral
150,profit tax eur 54 mn eur 36 mn year earlier,positive
151,subsidiari set facil manufactur highdens interconnect print circuit board pcb nokia special econom zone sriperumbudur near chennai,neutral
152,crm sep 40 call 35 sinc entri bang,positive
153,januaryjun 2010 dilut loss per share stood eur0 3 versu eur0 1 first half 2009,negative
154,rapala said estim make save 12 mln eur year centralis french oper one site,positive
155,vmw got nice push today follow small sweeper may c morn,positive
156,top consensu forecast earn 021 euro share,positive
157,rd loan,neutral
158,futur compani intend look knowhow outsid compani cooper actor sector,positive
159,need readi window open rosberg said,neutral
160,50000 tonn asphalt mix use contract,neutral
161,pa jpmorgan chase co nyse jpm pohjoa bank joint leadmanag senior unsecur deal,neutral
162,ctrp break good vol parser buy signal notic bob lang comment look 48 fast,positive
163,sale finland decreas 105 januari sale outsid finland drop 17,neutral
164,pulp product finnish kemijñrvi also liquid 1100 employe loos job,negative
165,nordea cheapest also coupl 30 debt,neutral
166,jussi pesonen member sampo board sinc 2006 renounc seat sampo board,neutral
167,tesla recal 2700 model x car tsla,negative
168,adjust chang group structur divis net sale increas 17,positive
169,make matter difficult compani said grappl higher oil ga price push cost energi raw materi transport,neutral
170,amend propos simplifi propos plan increas incent key employe stay compani,positive
171,solut expand includ ground staff task,neutral
172,oper loss total eur 32 mn compar profit eur 72 mn third quarter 2008,negative
173,fedday look sharp move equiti aapl hd low fb see uvxi tvix get hammer even though market,positive
174,net sale total eur 936 mn eur 932 mn correspond period 2005,positive
175,consequ work council withdrawn petit suspend reorganis,neutral
176,ceo erkki jñrvinen happi compani perform 2010,positive
177,compar net sale expect increas 10 2008 line group target,positive
178,follow transact lundbeck worldwid right nalmefen exclud north america mexico turkey southkorea,positive
179,govern start selloff last month put 8 percent stake teliasonera auction bloc,neutral
180,report goe provid detail profil ten lead european specialti chemic compani brief profil major player,neutral
181,oper profit net sale threemonth period increas respect eur16 0 eur139m compar correspond quarter 2006,positive
182,compani expect net sale whole 2009 previou year level,neutral
183,compani headquart sievi finland list nordic exchang helsinki,neutral
184,commiss incom increas 22 eur 44 mn lend volum rose 135,positive
185,finnish compani sold uk oper consist 50 staff offic london birmingham manchest part deal hampden juli 2001 europeanwid properti casualti arm sampo industri,neutral
186,build home improv trade sale decreas 225 eur 2014 mn,negative
187,innova 2 build locat close downtown immedi vicin paviljonki travel center within walk distanc heart citi thank trade fair bridg,neutral
188,finnish textil cloth group marimekko oyj post net profit 799 mln euro 104 mln 2006 compar 84 mln euro 109 mln 2005,neutral
189,main strength cooper project lie merg knowhow two larg compani,positive
190,sharehold right put agenda agm item within compet gener meet,neutral
191,kazgiprotsvetmet outotec finland sign agreement strateg cooper market provid miner process metallurg plant relat servic kazakhstan surround countri,positive
192,due rapid decreas net sale personnel reduct carri wider scale initi expect,neutral
193,govern instead propos exchang state stake lmt teliasonera stake lattelecom,neutral
194,stora due releas fourthquart 2009 fullyear earn feb 4,neutral
195,fullyear oper result 2008 36 million neg,neutral
196,nq got hit hard lower look like found support 1889,negative
197,2008 avc systemhau net sale eur 10 million usd 71,neutral
198,compani establish 3g base station 17000 feet foot mount everest enabl mountain climber 29035foot summit surf internet even send video exploit,positive
199,offer custom solut base renew raw materi,neutral
200,survey conduct taloustutkimu sampo life show compani badli prepar lose key staff member,neutral
201,antti orkola presid kemira growhow industri solut unit told thomson financi news compani put open mine price phosphat quit depress long tear eye,neutral
202,pretax profit group life insur busi increas eur36m eur27m,positive
203,make avail follow brandnew market analys cement pakistan cement malaysia cement taiwan cement philippin analys give clear overview actual situat futur outlook cement industri asian countri,neutral
204,compani serv approxim 3000 custom 100 countri,neutral
205,rt alphatrend vmarket still act weak spi qqq xlf smh iwm,negative
206,oper profit total eur 302 mn eur 438 mn year earlier,neutral
207,one instal elev doubledeck elev enabl effici use build core space,positive
208,helsinki afx outokumpu said agre sell hitura nickel mine finland canadian group belveder resourc ltd 10 mln eur worth belveder share,neutral
209,went long ilmn,positive
210,social network locationbas servic trend compris signific share internet traffic today appeal mid user,neutral
211,total 30 order valu book fourth quarter 2009 remaind book second quarter 2010,neutral
212,johnson matthey share price slump compani post fullyear result,negative
213,previou share subscript 2004 stock option,neutral
214,affectogenimap build highli customis solut custom finland baltic countri,neutral
215,close transact schedul take place januari 10 2008,neutral
216,howev offer probabl made current valuat partli deriv deal compani merg stock market shell,neutral
217,oper result 12month period decreas profit eur0 4 turnov decreas eur5 6 compar 2004,neutral
218,administr indic need 900 job cut irish insur next 15 month,neutral
219,net sale 2008 expect level 2007,neutral
220,technic indic stock bullish sp give nok posit 4 star 5 buy rank,positive
221,revenu quarter total 274 billion 2 percent 281 billion fourth quarter 2008,negative
222,nviro oper process facil independ well partnership municip,neutral
223,number bodili injuri case quadrupl 20002006,negative
224,accord ringman finnish paper compani acquir knowhow capac paper recycl turn success strategi,positive
225,compani also said poland profit program launch oborniki steel frame sandwich panel plant,positive
226,us energi execut say high steel price threaten energi explor,negative
227,tesco sale rise show tent recoveri continu,positive
228,finland launch tiein sale 3g mobil phone caus dramat rush mobil retail outlet first day,neutral
229,nuan held well big gain mayb final move thisit still undervalu major upsid,positive
230,compani split two part come month essent own oper product suppli enexi own oper grid,neutral
231,offici disclos contract valu,neutral
232,london lead share today jump almost 100 point 17 market open,positive
233,third quarter fiscal 2008 efor swung net loss eur 400000 versu net profit eur 200000 correspond period fiscal 2007,neutral
234,group oper loss eur 08 mn profit eur 25 mn 2004,neutral
235,move trigger weak demand forestri equip uncertain market situat,negative
236,combin compani proforma net sale 140 mln euro 1889 mln oper profit 13 mln euro 175 mln 2006,neutral
237,manag director kari inkinen say sponda leas oper develop highli favour,positive
238,17 march 2011 goldman sach estim neg prospect norwegian mobil oper norway telenor asa osl tel sweden teliasonera ab sto tlsn short term,negative
239,tsla steam stock relentless moment,positive
240,marathon estim valu remain stake protalix 27 million,neutral
241,whitbread share price climb q4 sale growth,positive
242,incap contract manufactur subsidiari incap corpor finland,neutral
243,oper profit total eur 377 mn slightli eur 372 mn correspond period 2006,positive
244,went market yield guidanc 725 area gave us flexibl go 18th,neutral
245,rt stockdemon think short close might play spi high beta reversinglook worth shot,negative
246,vdw combin lxe devic enhanc product enabl worker use singl devic perform voic scan keyboard function,positive
247,thu method cut work cost fasten plan build process,positive
248,talentum net sale septemb smaller expect,negative
249,copyright afx news afx financi news logo regist trademark afx news limit,neutral
250,lnkd daili phase 2 retest price experienc earli reject retest,negative
251,rb reportedli appoint howard davi next chairman,neutral
252,tesco asda sale fall march discount continueskantar,negative
253,new version import us introduc bim process base detail build inform model,neutral
254,sampo plc jarmo salonen head investor relat group commun tel 358 10 516 0030 distribut nasdaq omx helsinki princip media financi supervisori author announc distribut thomson reuter behalf thomson reuter client,neutral
255,barronsonlin see appl 150share year 36 today grow servic busi aapl,positive
256,pharmaceut market poland global research data servic publish recent market analysi pharmaceut market poland,neutral
257,altogeth finnair cancel 500 flight strike,negative
258,employ togeth health personnel support quit pay part cost nicotin treatment,neutral
259,pretax loss total eur 117mn compar loss eur 65mn correspond period,neutral
260,order includ 48 ship crane deliv 12 contain feeder built wenchong shipyard china,neutral
261,copper lead nickel also drop hbo hbo plummet 20 703 penc say yearó,neutral
262,goog test 200 day consolid,positive
263,join technopoli kone held variou posit within group recent director servic busi busi develop kone middl eastern oper,neutral
264,succeed increas market share sold apart comment mr kari kauniskanga head yit intern construct servic,positive
265,profit ebit 139 compar 131 previousyear period,positive
266,finnish geosentr net sale decreas eur 939000 januarymarch 2009,neutral
267,plant schedul complet late februari 2007 hand area januari two supplier nokia aspocomp group oyj perlo announc plan establish plant within nokia complex togeth invest rs 365 crore,neutral
268,upmkymmen upgrad inlin underperform goldman sach,positive
269,slump weir lead ftse record high,negative
270,jan 6 ford struggl face slow truck suv sale surfeit uptod gottahav car,neutral
271,royal mail breach competit law deliveri servic chang ofcom claim,negative
272,cooper involv arena partner buy 35 share new joint ventur compani oper alma media home sale vehicl consum advertis marketplac busi,neutral
273,efor plant saarijarvi central finland one largest employ region,neutral
274,howev shortterm rental becom popular,neutral
275,emsa deputi chairman board juri lember told bn wednesday first tear eye heard strike swedish side inform estonian union yet,neutral
276,tesco close new chairman dixon carphon john allan frame,positive
277,devic offer multimedia perform along host product applic includ live stock price,neutral
278,sale climb 192 pct 1002 bln eur surpass 953 mln eur consensu figur,positive
279,fb turn back earli trade,negative
280,utah capit want next us headquart amer sport corp skiequip compani,neutral
281,old mutual firstquart sale 18 buoy emerg market,positive
282,dividend payabl februari 1 2010 sharehold record januari 19 2010,neutral
283,sale finland decreas 105 januari sale outsid finland drop 17,negative
284,furthermor bung also sign licens agreement sunnuntai carlshamn mejeri brand,positive
285,kesko corpor stock exchang releas 28022008 0930 1 1 kesko corpor aspo plc today sign agreement aspo acquir share capit kaukotelko ltd subsidiari wholli own kesko,positive
286,lulu outlook q1 2013 lost revenu rang 12 million 17 million good,negative
287,mobil commun wireless broadband provid nokia inc nyse nok today set new financi target forecast nokia mobil devic industri also nokia siemen network mobil fix infrastructur relat servic market,neutral
288,poyri plc addit inform heikki malinen presid ceo poyri plc tel 358 10 33 21307 poyri global expert consult engin,neutral
289,danish compani flsmidth acknowledg violat patent held finnish metso,neutral
290,amanda capit invest 22 privat equiti fund 200 unquot compani mainli europ,neutral
291,net interest incom eur 393 mn eur 327 mn,positive
292,jeder betatest erhñlt kostenlo sech monat lang updat und hat laut eigen aussag die mâglichkeit die final version zu beeinflussen,neutral
293,jp morgan expect scala lower nobel biocar growth forecast 2007 current guidanc 2325 pct well oper margin target current 3435 pct,neutral
294,aviva promis higher dividend boost flag share price,positive
295,addit mid alway onlin enabl full internet brows,neutral
296,fiskar strong portfolio intern brand includ fiskar iittala gerber silva buster,positive
297,tesla model x recal add reliabl issu tsla,negative
298,name buyer disclos,neutral
299,net sale veget oil busi rose eur 106 mn eur 101 mn,positive
300,agreement benefon forthcom rang twig integr gp navig mobil phone devic use jointli develop webbas track locat technolog consum commerci applic,neutral
301,follow increas huhtamaki regist share capit eur360 62 number share outstand 106063320,neutral
302,three year turnaround program expect ensur salomon futur competit compani said,positive
303,autumn plan expand servic st petersburg moscow launch servic yekaterinburg russia fli three time week,positive
304,compani profit total ls 578100 h1 2007 309 yearonyear,negative
305,feder secretari transport commun mexico award poyri mexican partner sintra consult contract connect buenavistacuautitlan suburban railway,positive
306,fda approv astrazeneca drug advanc lung cancer,positive
307,order includ metso fourth quarter 2007 order backlog,neutral
308,lieksaar oy earlier regard control saarelainen oy individu sharehold sharehold agreement,neutral
309,raguti control finnish breweri report 54percent rise beer sale 1044 million litr held 1109percent market share,positive
310,mcp roll new intraday low bottom picker continu get destroy,negative
311,compani annual turnov eur32 8,neutral
312,has80 branch finland annual revenu finland,neutral
313,portfolio compris 118000 m2 leasabl space vacanc rate roughli 5 let around 140 tenant two largest swedish govern ericsson,neutral
314,wpp boost sale despit cautiou client,positive
315,mediumterm oper target compani remain unchang,neutral
316,adp news feb 13 2009 finnish retail kesko oyj hel kesbv said today total sale exclud valu ad tax vat stood eur 6613 million usd 8531 januari 2009 152 yearonyea,negative
317,consum well receiv pack fresh meat,positive
318,correct chapter entireti,neutral
319,major part deliveri includ differ ac cxe amplifi solut product dinh telecom compani acquir telest last spring,neutral
320,tietoen use nokia intellisync mobil suit wireless email calendar devic manag capabl compani extend servic custom,positive
321,provid heat form hot water sawmil need,neutral
322,howev net sale declin eur 8036 million eur 12 billion,negative
323,second quarter 2010 raut net loss narrow eur 123000 eur 15 million period 2009,positive
324,dgi technic alert gilligan island buy setup stochast buy signal lizard bullish hammer candlestick wid,positive
325,record date dividend distribut march 14 2008,neutral
326,ih move enhanc growth,positive
327,ebrd use fund provid 216 million loan b portion 10 million euro syndic two finnish commerci bank nordea bank finland plc 77 million euro pohjola bank plc 23 million euro,neutral
328,stockholm 3 march 2011 cybercom cybercom group hightech consult offer global sourc endtoend solut,neutral
329,said lose five famili month economi mani make altern arrang save money,negative
330,milan afx italian ship group grimaldi increas stake finnish compani finnlin 354 pct 305 pct held june accord news agenc ansa,neutral
331,comment deal shane lennon svp market product develop gypsii said,neutral
332,extern net sale print busi fell 437 partli due termin print contract ilkkayhtyma print hous iprint oy sector player hss media ab decemb 2009 fall print price,neutral
333,group intend reloc warehous offic space loudeac saint marcel morvillar east countri alreadi oper hook manufactur distribut unit,neutral
334,firm headquart vantaa southern finland 16 employe,neutral
335,133 pm omx helsinki 25 030 pct lower 246367 omx helsinki 037 pct 853742 volum 256 mln eur,neutral
336,honor recogn gartner specialist busi process model analysi compani mani largest softwar vendor world,positive
337,westpac bank corp issu benchmark 3 year frn deal euro,neutral
338,includ compani brand share data categori well distribut channel data,neutral
339,new share subscrib stock option sharehold right commenc date enter trade regist,neutral
340,aapl price momentum weaken go close,negative
341,acquisit solteq expand solut offer microsoft dynam busi softwar product,positive
342,compani profit total ls 134700,neutral
343,leed intern recogn green build certif system develop us green build council,neutral
344,howev market share shrank 4759 per cent 48 per cent year earlier,negative
345,talktalk hire befor anyon els system investig cyber attack,negative
346,look like book one way ticket 40 week near 50 lose 10 week lulu,neutral
347,ftse led lower ms glaxosmithklin,negative
348,exercis price option base safran softwar solut licens mainten sale well result compani,neutral
349,fullyear oper result 2008 36 million neg,negative
350,compani said product volum far indic circuit capabl target output rate 60000 tonn per day 22 million tonn year,neutral
351,jun 25 2008 boy geniu report deliv newstex nokia nyse nok n78 huh,neutral
352,come decis base preliminari econom oper environment find karvinen said,neutral
353,new major owner aspocomp thailand co ltd certain privat person belong immedi circl aspocomp present joint ventur partner saha pathana interhold plc,neutral
354,38 mln euro 52 mln base acquisit price paid cash rest subscript offer total 850000 new ixono share,neutral
355,establish 1987 srv group privat finnish construct concern oper finland baltic countri russia,neutral
356,busi section also includ ahlstrom sustain report,neutral
357,£lemist citi environ knowledgebas economi provid work 3300 peopl total turnov compani amount eek 54 bn said £lo pñrnit chairman supervisori board £lemist citi mainor,neutral
358,jacob support storengi invest develop storag site sinc 2006 owner engin,neutral
359,compani earlier said consid differ strateg option struggl lowcost mobil oper includ divest hold,neutral
360,sainsburi asda tesco morrison cut petrol price oil fall,negative
361,barclay sell benchmark indic unit bloomberg,positive
362,oper profit fourth quarter fell eur33m eur39m year earlier,neutral
363,finnish forestri compani upmkymmen wast manag compani lassila tikanoja said jan 30 plan produc ethanol energi commerci industri wast,neutral
364,ism disclos financi result daili said,neutral
365,contract cover manufactur surfacetreat instal steel structur,neutral
366,finnish metal industri solut supplier outotec oyj net profit rose 504 mln euro 725 mln first nine month 2007 201 mln euro 289 mln period 2006,positive
367,deal know pay sek90m usd12 8 meur8 6 cash stock,neutral
368,first nine month 2010 compani net profit rose eur41m eur30m correspond period 2009,positive
369,aapl 50dma turn macd crossov halfahair away weekli eod break like,positive
370,protalix 42 million cash sale,neutral
371,bearish outsid day tuesday signific 200 day resist still intact opinion sd,negative
372,right reserv,neutral
373,oper nokia support nokia netact network servic manag system,neutral
374,mr priit kasak balti metsamasina owner said rakverebas compani wish increas valmet market share 27 third coupl year,positive
375,shire see baxalta deal close expect new rule,positive
376,sainsburi cfo roger replac home retail ceo walden,neutral
377,marathon 46 percent stake plx said accord bloomberg,neutral
378,simmon elect dcuc chairman portsmouth nhgordon simmon ceo servic credit union elect chairman defens credit union council 20072008 term,neutral
379,sanoma news advertis sale decreas 22 year,negative
380,pharmaceut market czech republ global research data servic publish recent market analysi pharmaceut market czech republ,neutral
381,finnish construct compani yit reduc number startup marketfinanc residenti unit 2007 2300 previous announc 2700,neutral
382,cash flow oper recent quarter also reach eight year low,neutral
383,tietoen 113 pct 1838 extend recent low last week secondquart report dealer said,negative
384,maritim administr said ship ignor warn ici condit,negative
385,synergi pharma soar 67 today posit phase 3 result sgyp,positive
386,oper profit rose eur 16 mn eur 11 mn correspond period 2006,positive
387,make matter difficult compani said grappl higher oil ga price push cost energi raw materi transport,negative
388,vrtx vertex monthli lower hilow lo long term uptrend intract far,positive
389,financi detail disclos,neutral
390,includ softwar develop internet mobil telephon content commun valuead softwar financi servic secur applic system integr electron ebrd inform,neutral
391,yit lodg counter claim nest oil total eur25m primarili base work carri contract addit cost incur due prolong project,neutral
392,follow berkshir hathaway appl stock,neutral
393,total amount subscript price record fund invest nonrestrict equiti,neutral
394,tsla 5th wave 1 hour chart hammer candl develop close 200 sma might good spot call,positive
395,strongest growth seen new market russia czech republ slovakia,positive
396,tower engin creat 18 degre westward lean four time inclin lean tower pisa use diagrid structur align geometr use tekla structur bim build inform model softwar,neutral
397,amer bought salomon adida octob said job cut aim boost competit,neutral
398,acando ab acanb ss fell 89 percent 1335 kronor lowest close sinc dec 11,negative
399,measur suominen corpor aim ensur competit flexibl packag busi long term,positive
400,ifhedieshedi bullhorn334 znga short get nervou,positive
401,financi statement releas avail publish compani internet page,neutral
402,world glass come egypt invit visitor around world attend glass world exhibit 2009 regist,neutral
