Sentence,Sentiment
volum invest two phase project estim usd 300mn eur 21503 mn,neutral
russia account 9 lagarder magazin divis revenu eur 11440 mn usd 14811 mn 2009 usa 18,neutral
compani also estim alreadi carri invest lead increas net sale 2010 2009 reach eur 1417 million,positive
profit account period eur 03 mn,neutral
six breweri record 52 percent growth domest beer sale last year 27021 million liter 25688 million liter sold 2005,positive
augustoctob 2010 compani result tax total eur 96 mn eur 05 mn correspond period 2009,positive
systeemitiimi sale project resourc also strengthen director paul skogberg said,positive
tesco share price jump q3 sale top estim,positive
fine print,neutral
price log clearli improv 2009 also price pulpwood gone,positive
thu sysopen digia accord chapter 14 section 21 finnish compani act 2991978 734 obtain titl share sentera redeem,neutral
dilut earn per share ep fell eur 063 eur 171,neutral
337 pm eastern tear eye block 2400 contract chang hand bid price 045,neutral
recent technolog deliveri includ refineri technolog anrak aluminium iron ore pellet plant tata steel iron ore sinter plant bhushan steel,neutral
vip similar pattern like begin may you sell nowwil go much higher drop,positive
firm gener sale 187 mln eur 2005,neutral
stora enso also meet labor author employ econom develop centr repres govern order find solut,neutral
astrazeneca profit sale stalwart fade,negative
rt andrewnyquist chartolog yahoo yhoo crazi look chart near breakout resist line,positive
bullish stock twitter dip yhoo gdx googl stz gold ew vz celg sbux scti,positive
finnish geosentr net sale decreas eur 939000 januarymarch 2009,negative
cohen steer inc 5 534 626 share repres 4985 share capit vote right,neutral
staff recruit japan complement network close 50 servic locat 20 countri worldwid,positive
paper compani neg territori stora enso r shed 162 pct 1273 eur upmkymmen 080 pct 1864 eur mreal b 018 pct lower 557 eur,neutral
kaukotelko central administr dissolv appropri part transfer oper activ group administr end year,neutral
oper profit quarter apriljun 2006 amount eur182 2 sale eur3 62 bn,neutral
atria chose delight attract consum 2545 age group atria fresh rang microwav meal,neutral
finnish solut provid affecto oyj hel afe1v said today slip net loss eur 115000 usd 152000 second quarter 2010 profit eur 845000 correspond period year earlier,neutral
us sanction put gazpromshel allianc plan jeopardi,negative
profit period eur 109 mn eur 143 mn 2009,neutral
profit period eur 59 mn eur 13 mn,positive
oper profit fell eur 203 mn eur 742 mn second quarter 2008,neutral
howev sale return growth apriljun 2010 ceo pekka eloholma said,positive
oper profit total eur 186 mn 83 net sale,neutral
chang market situat tougher price competit substanti reduc demand bread packag manufactur kauhava plant accord compani,negative
connect deal digia employ 19 person nokia oslo silicon valley usa,neutral
brazilian unit finnish secur solut provid fsecur sign 1500 new client last year onlin news sourc resel web quot divis commerci director vladimir brandúo say,positive
fair valu compani invest properti went eur 2768 billion end 2009 eur 2916 billion year earlier,neutral
dealer said share larg hit investor disappoint refin margin 948 usd per barrel quarter perform ship unit saw ebit drop 5 mln eur 20 mln eur year amid fall volum tanker rate,negative
testament qualiti lte solut commit japanes market ad,neutral
compani aim final negoti sign contract start octob 2008,neutral
metso foundri jyvaskyla oy discontinu product line 30 septemb 2008 compani said,neutral
total six poll analyst rate mreal two gave buy accumul three gave hold one gave sell,neutral
septemb 2010 finnish group agre buy danish compani rose poultri eur23 9 combin cash stock,positive
yang doubl bottom 52,positive
tesco share price grocer face sfo investig outcom,negative
aapl news becom bullish,positive
gs engin instal valv liquefi natur ga lng plant built uae lng extract ga plant oper gasco ruwai uae,neutral
percentag share vote right calcul proport total number share regist trade regist total number vote right relat,neutral
mreal said ground rumor circul market month,neutral
lember said matter topic also estonia bill draft social affair ministri would scrap oldag pension favor condit,neutral
moodi said gave p a1 longterm senior unsecur p p1 shortterm debt rate finnish lender aktia bank eur1bn usd1 4 bn euro mediumterm note emtn program 25 march 2011,neutral
tsla recal,negative
liquid provid interrupt may 11 2007 aspocomp group oyj share trade 050 cent aspocomp stock exchang releas 1152007,neutral
hargreav lansdown buck weak market see asset rise 26 percent,positive
1259 pm omx helsinki 25 index 032 pct lower 269481,negative
decis mean temporari layoff fix durat compani nastola jyvaskyla unit southern central finland respect,neutral
valu order eur 10mn,neutral
ms laakso respons hkscan hr function develop group smarket area,neutral
fiskar also engag global suppli marin energi equip solut servic associ compani wartsila corpor,neutral
aberdeen asset manag gain foothold china,positive
finland domin rail compani vr plan set infect passeng longdist trip separ carriag,neutral
novemb finnish govern decreas ownership compani 311 percent 38 percent,neutral
finnish exel composit technolog compani design manufactur market composit profil tube variou industri applic report net sale decreas 06 second quarter 2010 eur 192 mn eur 193 mn correspond period 2009,neutral
bavelloni nst joint ventur bavelloni tool complet semiproduct produc itali highqual tool sold diapol brand,neutral
tool patent pend design allow consum lay entir project remov plate use multipl clear stamp kind,neutral
googl short 740 upper bb overbought,negative
light curfew curl latest bestsel treat eye perfect read light luceplan,neutral
upmkymmen corp world largest maker magazin paper tuesday report 19percent profit drop lower paper price higher cost strong euro hurt revenu,negative
total valu contract eur 8 million,neutral
prerequisit inclus program receipt gain key employe acquir aspo share amount determin board advanc maximum,neutral
mr dore eaton sinc 1989 act busi unit manag eaton power control busi unit sinc januari 2007,neutral
250 sq 2691 sq ft store copenhagen premier shop district inaugur today strengthen compani presenc nordic capit,positive
financi statement first quarter 2010 tikkurila report discontinu oper,neutral
world second largest stainless steel maker said net profit threemonth period dec 31 surg euro603 million us 781 million euro3 33 us 431 per share euro172 million euro0 94 per share previou year,positive
name applic jot autom oynam inventor mammila tuomo piirainen mika kellokoski mikaappl 2424kolnp2008 adat file applic 16062008public date 30012009,neutral
netflix grow effort creat loyal custom nflx,positive
omx nordic 40 omxn40 index compris 40 trade nordic stock nasdaq omx exchang close 087 106414 point thursday,negative
aapl nibbl small long via 525 buy 13min chart,positive
oper margin aker yard cruis ferri divis went 83 64 first quarter 2007,negative
tyc break new high lot technic look great right,positive
eero katajavuori current group vice presid human resourc take yearlong sabbat start octob 1 2010,neutral
what lulu number look good great good think confer call instil confid,neutral
adjust measur carri phase secur deliveri capabl,neutral
alma media corpor press releas 15 march 2010 tyrvaan sanomat paikallissanomat bought suomen paikallissanomat two local paper tyrvaan sanomat paikallissanomat appear sastamala neighbour municip bought suomen paikallissanomat oy,neutral
temporari layoff affect entir workforc also implement,negative
meet media analyst held day 1030 stonesoft headquart helsinki italahdenkatu 22 interim report present stonesoft ceo ilkka hiidenheimo,neutral
finnish samporosenlew manufactur approxim seven forest machin monthli half machin export,neutral
facebook near buy point last week face differ technic test today fb aapl nflx,positive
4 februari 2011 finnish broadband data commun system provid telest oyj hel tlt1v said wednesday net profit rocket eur4 8 2010 eur416 000 2009 lift dividend propos,positive
free ha heeeeeer come pump glad pick 9k end day get readi bull ride,positive
finnish technolog group aspocomp group oyj omx helsinki acg1v issu third quarter report thursday 13 novemb post oper profit eur0 4 compar loss eur0 5 third quarter 2007,positive
build complex consist highqual offic retail space total 49200 squar metr compani said,neutral
finnish insur compani fennia kesko group end loyal custom cooper,neutral
unit plan oper second half 2007 full stream 2008,neutral
itg share deal estim 500000 euro 627000,neutral
plant expect enter commerci oper mid2009,neutral
aspo also investig sale opportun kaukomarkkinat electron busi,neutral
bg group appoint new ceo one month earli,neutral
acquisit immedi posit impact aspocomp financi result,positive
finnair passeng load factor measur number sold seat share avail seat drop 13 percentag point 767 septemb,negative
rt bman1 lng look prime also eght pois run,positive
also 77 pct 12month volum weight averag price stock,positive
coke dividend 3 googl dividend 0 passiv incom coke take goog ko,neutral
profit tax eur 54 mn eur 36 mn year earlier,positive
subsidiari set facil manufactur highdens interconnect print circuit board pcb nokia special econom zone sriperumbudur near chennai,neutral
crm sep 40 call 35 sinc entri bang,positive
januaryjun 2010 dilut loss per share stood eur0 3 versu eur0 1 first half 2009,negative
rapala said estim make save 12 mln eur year centralis french oper one site,positive
vmw got nice push today follow small sweeper may c morn,positive
top consensu forecast earn 021 euro share,positive
rd loan,neutral
futur compani intend look knowhow outsid compani cooper actor sector,positive
need readi window open rosberg said,neutral
50000 tonn asphalt mix use contract,neutral
pa jpmorgan chase co nyse jpm pohjoa bank joint leadmanag senior unsecur deal,neutral
ctrp break good vol parser buy signal notic bob lang comment look 48 fast,positive
sale finland decreas 105 januari sale outsid finland drop 17,neutral
pulp product finnish kemijñrvi also liquid 1100 employe loos job,negative
nordea cheapest also coupl 30 debt,neutral
jussi pesonen member sampo board sinc 2006 renounc seat sampo board,neutral
tesla recal 2700 model x car tsla,negative
adjust chang group structur divis net sale increas 17,positive
make matter difficult compani said grappl higher oil ga price push cost energi raw materi transport,neutral
amend propos simplifi propos plan increas incent key employe stay compani,positive
solut expand includ ground staff task,neutral
oper loss total eur 32 mn compar profit eur 72 mn third quarter 2008,negative
fedday look sharp move equiti aapl hd low fb see uvxi tvix get hammer even though market,positive
net sale total eur 936 mn eur 932 mn correspond period 2005,positive
consequ work council withdrawn petit suspend reorganis,neutral
ceo erkki jñrvinen happi compani perform 2010,positive
compar net sale expect increas 10 2008 line group target,positive
follow transact lundbeck worldwid right nalmefen exclud north america mexico turkey southkorea,positive
govern start selloff last month put 8 percent stake teliasonera auction bloc,neutral
report goe provid detail profil ten lead european specialti chemic compani brief profil major player,neutral
oper profit net sale threemonth period increas respect eur16 0 eur139m compar correspond quarter 2006,positive
compani expect net sale whole 2009 previou year level,neutral
compani headquart sievi finland list nordic exchang helsinki,neutral
commiss incom increas 22 eur 44 mn lend volum rose 135,positive
finnish compani sold uk oper consist 50 staff offic london birmingham manchest part deal hampden juli 2001 europeanwid properti casualti arm sampo industri,neutral
build home improv trade sale decreas 225 eur 2014 mn,negative
innova 2 build locat close downtown immedi vicin paviljonki travel center within walk distanc heart citi thank trade fair bridg,neutral
finnish textil cloth group marimekko oyj post net profit 799 mln euro 104 mln 2006 compar 84 mln euro 109 mln 2005,neutral
main strength cooper project lie merg knowhow two larg compani,positive
sharehold right put agenda agm item within compet gener meet,neutral
kazgiprotsvetmet outotec finland sign agreement strateg cooper market provid miner process metallurg plant relat servic kazakhstan surround countri,positive
due rapid decreas net sale personnel reduct carri wider scale initi expect,neutral
govern instead propos exchang state stake lmt teliasonera stake lattelecom,neutral
stora due releas fourthquart 2009 fullyear earn feb 4,neutral
fullyear oper result 2008 36 million neg,neutral
nq got hit hard lower look like found support 1889,negative
2008 avc systemhau net sale eur 10 million usd 71,neutral
compani establish 3g base station 17000 feet foot mount everest enabl mountain climber 29035foot summit surf internet even send video exploit,positive
offer custom solut base renew raw materi,neutral
survey conduct taloustutkimu sampo life show compani badli prepar lose key staff member,neutral
antti orkola presid kemira growhow industri solut unit told thomson financi news compani put open mine price phosphat quit depress long tear eye,neutral
pretax profit group life insur busi increas eur36m eur27m,positive
make avail follow brandnew market analys cement pakistan cement malaysia cement taiwan cement philippin analys give clear overview actual situat futur outlook cement industri asian countri,neutral
compani serv approxim 3000 custom 100 countri,neutral
rt alphatrend vmarket still act weak spi qqq xlf smh iwm,negative
oper profit total eur 302 mn eur 438 mn year earlier,neutral
one instal elev doubledeck elev enabl effici use build core space,positive
helsinki afx outokumpu said agre sell hitura nickel mine finland canadian group belveder resourc ltd 10 mln eur worth belveder share,neutral
went long ilmn,positive
social network locationbas servic trend compris signific share internet traffic today appeal mid user,neutral
total 30 order valu book fourth quarter 2009 remaind book second quarter 2010,neutral
johnson matthey share price slump compani post fullyear result,negative
previou share subscript 2004 stock option,neutral
affectogenimap build highli customis solut custom finland baltic countri,neutral
close transact schedul take place januari 10 2008,neutral
howev offer probabl made current valuat partli deriv deal compani merg stock market shell,neutral
oper result 12month period decreas profit eur0 4 turnov decreas eur5 6 compar 2004,neutral
administr indic need 900 job cut irish insur next 15 month,neutral
net sale 2008 expect level 2007,neutral
technic indic stock bullish sp give nok posit 4 star 5 buy rank,positive
revenu quarter total 274 billion 2 percent 281 billion fourth quarter 2008,negative
nviro oper process facil independ well partnership municip,neutral
number bodili injuri case quadrupl 20002006,negative
accord ringman finnish paper compani acquir knowhow capac paper recycl turn success strategi,positive
compani also said poland profit program launch oborniki steel frame sandwich panel plant,positive
us energi execut say high steel price threaten energi explor,negative
tesco sale rise show tent recoveri continu,positive
finland launch tiein sale 3g mobil phone caus dramat rush mobil retail outlet first day,neutral
nuan held well big gain mayb final move thisit still undervalu major upsid,positive
compani split two part come month essent own oper product suppli enexi own oper grid,neutral
offici disclos contract valu,neutral
london lead share today jump almost 100 point 17 market open,positive
third quarter fiscal 2008 efor swung net loss eur 400000 versu net profit eur 200000 correspond period fiscal 2007,neutral
group oper loss eur 08 mn profit eur 25 mn 2004,neutral
move trigger weak demand forestri equip uncertain market situat,negative
combin compani proforma net sale 140 mln euro 1889 mln oper profit 13 mln euro 175 mln 2006,neutral
manag director kari inkinen say sponda leas oper develop highli favour,positive
17 march 2011 goldman sach estim neg prospect norwegian mobil oper norway telenor asa osl tel sweden teliasonera ab sto tlsn short term,negative
tsla steam stock relentless moment,positive
marathon estim valu remain stake protalix 27 million,neutral
whitbread share price climb q4 sale growth,positive
incap contract manufactur subsidiari incap corpor finland,neutral
oper profit total eur 377 mn slightli eur 372 mn correspond period 2006,positive
went market yield guidanc 725 area gave us flexibl go 18th,neutral
rt stockdemon think short close might play spi high beta reversinglook worth shot,negative
vdw combin lxe devic enhanc product enabl worker use singl devic perform voic scan keyboard function,positive
thu method cut work cost fasten plan build process,positive
talentum net sale septemb smaller expect,negative
copyright afx news afx financi news logo regist trademark afx news limit,neutral
lnkd daili phase 2 retest price experienc earli reject retest,negative
rb reportedli appoint howard davi next chairman,neutral
tesco asda sale fall march discount continueskantar,negative
new version import us introduc bim process base detail build inform model,neutral
sampo plc jarmo salonen head investor relat group commun tel 358 10 516 0030 distribut nasdaq omx helsinki princip media financi supervisori author announc distribut thomson reuter behalf thomson reuter client,neutral
barronsonlin see appl 150share year 36 today grow servic busi aapl,positive
pharmaceut market poland global research data servic publish recent market analysi pharmaceut market poland,neutral
altogeth finnair cancel 500 flight strike,negative
employ togeth health personnel support quit pay part cost nicotin treatment,neutral
pretax loss total eur 117mn compar loss eur 65mn correspond period,neutral
order includ 48 ship crane deliv 12 contain feeder built wenchong shipyard china,neutral
copper lead nickel also drop hbo hbo plummet 20 703 penc say yearó,neutral
goog test 200 day consolid,positive
join technopoli kone held variou posit within group recent director servic busi busi develop kone middl eastern oper,neutral
succeed increas market share sold apart comment mr kari kauniskanga head yit intern construct servic,positive
profit ebit 139 compar 131 previousyear period,positive
finnish geosentr net sale decreas eur 939000 januarymarch 2009,neutral
plant schedul complet late februari 2007 hand area januari two supplier nokia aspocomp group oyj perlo announc plan establish plant within nokia complex togeth invest rs 365 crore,neutral
upmkymmen upgrad inlin underperform goldman sach,positive
slump weir lead ftse record high,negative
jan 6 ford struggl face slow truck suv sale surfeit uptod gottahav car,neutral
royal mail breach competit law deliveri servic chang ofcom claim,negative
cooper involv arena partner buy 35 share new joint ventur compani oper alma media home sale vehicl consum advertis marketplac busi,neutral
efor plant saarijarvi central finland one largest employ region,neutral
howev shortterm rental becom popular,neutral
emsa deputi chairman board juri lember told bn wednesday first tear eye heard strike swedish side inform estonian union yet,neutral
tesco close new chairman dixon carphon john allan frame,positive
devic offer multimedia perform along host product applic includ live stock price,neutral
sale climb 192 pct 1002 bln eur surpass 953 mln eur consensu figur,positive
fb turn back earli trade,negative
utah capit want next us headquart amer sport corp skiequip compani,neutral
old mutual firstquart sale 18 buoy emerg market,positive
dividend payabl februari 1 2010 sharehold record januari 19 2010,neutral
sale finland decreas 105 januari sale outsid finland drop 17,negative
furthermor bung also sign licens agreement sunnuntai carlshamn mejeri brand,positive
kesko corpor stock exchang releas 28022008 0930 1 1 kesko corpor aspo plc today sign agreement aspo acquir share capit kaukotelko ltd subsidiari wholli own kesko,positive
lulu outlook q1 2013 lost revenu rang 12 million 17 million good,negative
mobil commun wireless broadband provid nokia inc nyse nok today set new financi target forecast nokia mobil devic industri also nokia siemen network mobil fix infrastructur relat servic market,neutral
poyri plc addit inform heikki malinen presid ceo poyri plc tel 358 10 33 21307 poyri global expert consult engin,neutral
danish compani flsmidth acknowledg violat patent held finnish metso,neutral
amanda capit invest 22 privat equiti fund 200 unquot compani mainli europ,neutral
net interest incom eur 393 mn eur 327 mn,positive
jeder betatest erhñlt kostenlo sech monat lang updat und hat laut eigen aussag die mâglichkeit die final version zu beeinflussen,neutral
jp morgan expect scala lower nobel biocar growth forecast 2007 current guidanc 2325 pct well oper margin target current 3435 pct,neutral
aviva promis higher dividend boost flag share price,positive
addit mid alway onlin enabl full internet brows,neutral
fiskar strong portfolio intern brand includ fiskar iittala gerber silva buster,positive
tesla model x recal add reliabl issu tsla,negative
name buyer disclos,neutral
net sale veget oil busi rose eur 106 mn eur 101 mn,positive
agreement benefon forthcom rang twig integr gp navig mobil phone devic use jointli develop webbas track locat technolog consum commerci applic,neutral
follow increas huhtamaki regist share capit eur360 62 number share outstand 106063320,neutral
three year turnaround program expect ensur salomon futur competit compani said,positive
autumn plan expand servic st petersburg moscow launch servic yekaterinburg russia fli three time week,positive
compani profit total ls 578100 h1 2007 309 yearonyear,negative
feder secretari transport commun mexico award poyri mexican partner sintra consult contract connect buenavistacuautitlan suburban railway,positive
fda approv astrazeneca drug advanc lung cancer,positive
order includ metso fourth quarter 2007 order backlog,neutral
lieksaar oy earlier regard control saarelainen oy individu sharehold sharehold agreement,neutral
raguti control finnish breweri report 54percent rise beer sale 1044 million litr held 1109percent market share,positive
mcp roll new intraday low bottom picker continu get destroy,negative
compani annual turnov eur32 8,neutral
has80 branch finland annual revenu finland,neutral
portfolio compris 118000 m2 leasabl space vacanc rate roughli 5 let around 140 tenant two largest swedish govern ericsson,neutral
wpp boost sale despit cautiou client,positive
mediumterm oper target compani remain unchang,neutral
adp news feb 13 2009 finnish retail kesko oyj hel kesbv said today total sale exclud valu ad tax vat stood eur 6613 million usd 8531 januari 2009 152 yearonyea,negative
consum well receiv pack fresh meat,positive
correct chapter entireti,neutral
major part deliveri includ differ ac cxe amplifi solut product dinh telecom compani acquir telest last spring,neutral
tietoen use nokia intellisync mobil suit wireless email calendar devic manag capabl compani extend servic custom,positive
provid heat form hot water sawmil need,neutral
howev net sale declin eur 8036 million eur 12 billion,negative
second quarter 2010 raut net loss narrow eur 123000 eur 15 million period 2009,positive
dgi technic alert gilligan island buy setup stochast buy signal lizard bullish hammer candlestick wid,positive
record date dividend distribut march 14 2008,neutral
ih move enhanc growth,positive
ebrd use fund provid 216 million loan b portion 10 million euro syndic two finnish commerci bank nordea bank finland plc 77 million euro pohjola bank plc 23 million euro,neutral
stockholm 3 march 2011 cybercom cybercom group hightech consult offer global sourc endtoend solut,neutral
said lose five famili month economi mani make altern arrang save money,negative
milan afx italian ship group grimaldi increas stake finnish compani finnlin 354 pct 305 pct held june accord news agenc ansa,neutral
comment deal shane lennon svp market product develop gypsii said,neutral
extern net sale print busi fell 437 partli due termin print contract ilkkayhtyma print hous iprint oy sector player hss media ab decemb 2009 fall print price,neutral
group intend reloc warehous offic space loudeac saint marcel morvillar east countri alreadi oper hook manufactur distribut unit,neutral
firm headquart vantaa southern finland 16 employe,neutral
133 pm omx helsinki 25 030 pct lower 246367 omx helsinki 037 pct 853742 volum 256 mln eur,neutral
honor recogn gartner specialist busi process model analysi compani mani largest softwar vendor world,positive
westpac bank corp issu benchmark 3 year frn deal euro,neutral
includ compani brand share data categori well distribut channel data,neutral
new share subscrib stock option sharehold right commenc date enter trade regist,neutral
aapl price momentum weaken go close,negative
acquisit solteq expand solut offer microsoft dynam busi softwar product,positive
compani profit total ls 134700,neutral
leed intern recogn green build certif system develop us green build council,neutral
howev market share shrank 4759 per cent 48 per cent year earlier,negative
talktalk hire befor anyon els system investig cyber attack,negative
look like book one way ticket 40 week near 50 lose 10 week lulu,neutral
ftse led lower ms glaxosmithklin,negative
exercis price option base safran softwar solut licens mainten sale well result compani,neutral
fullyear oper result 2008 36 million neg,negative
compani said product volum far indic circuit capabl target output rate 60000 tonn per day 22 million tonn year,neutral
jun 25 2008 boy geniu report deliv newstex nokia nyse nok n78 huh,neutral
come decis base preliminari econom oper environment find karvinen said,neutral
new major owner aspocomp thailand co ltd certain privat person belong immedi circl aspocomp present joint ventur partner saha pathana interhold plc,neutral
38 mln euro 52 mln base acquisit price paid cash rest subscript offer total 850000 new ixono share,neutral
establish 1987 srv group privat finnish construct concern oper finland baltic countri russia,neutral
busi section also includ ahlstrom sustain report,neutral
£lemist citi environ knowledgebas economi provid work 3300 peopl total turnov compani amount eek 54 bn said £lo pñrnit chairman supervisori board £lemist citi mainor,neutral
jacob support storengi invest develop storag site sinc 2006 owner engin,neutral
compani earlier said consid differ strateg option struggl lowcost mobil oper includ divest hold,neutral
sainsburi asda tesco morrison cut petrol price oil fall,negative
barclay sell benchmark indic unit bloomberg,positive
oper profit fourth quarter fell eur33m eur39m year earlier,neutral
finnish forestri compani upmkymmen wast manag compani lassila tikanoja said jan 30 plan produc ethanol energi commerci industri wast,neutral
ism disclos financi result daili said,neutral
contract cover manufactur surfacetreat instal steel structur,neutral
finnish metal industri solut supplier outotec oyj net profit rose 504 mln euro 725 mln first nine month 2007 201 mln euro 289 mln period 2006,positive
deal know pay sek90m usd12 8 meur8 6 cash stock,neutral
first nine month 2010 compani net profit rose eur41m eur30m correspond period 2009,positive
aapl 50dma turn macd crossov halfahair away weekli eod break like,positive
protalix 42 million cash sale,neutral
bearish outsid day tuesday signific 200 day resist still intact opinion sd,negative
right reserv,neutral
oper nokia support nokia netact network servic manag system,neutral
mr priit kasak balti metsamasina owner said rakverebas compani wish increas valmet market share 27 third coupl year,positive
shire see baxalta deal close expect new rule,positive
sainsburi cfo roger replac home retail ceo walden,neutral
marathon 46 percent stake plx said accord bloomberg,neutral
simmon elect dcuc chairman portsmouth nhgordon simmon ceo servic credit union elect chairman defens credit union council 20072008 term,neutral
sanoma news advertis sale decreas 22 year,negative
pharmaceut market czech republ global research data servic publish recent market analysi pharmaceut market czech republ,neutral
finnish construct compani yit reduc number startup marketfinanc residenti unit 2007 2300 previous announc 2700,neutral
cash flow oper recent quarter also reach eight year low,neutral
tietoen 113 pct 1838 extend recent low last week secondquart report dealer said,negative
maritim administr said ship ignor warn ici condit,negative
synergi pharma soar 67 today posit phase 3 result sgyp,positive
oper profit rose eur 16 mn eur 11 mn correspond period 2006,positive
make matter difficult compani said grappl higher oil ga price push cost energi raw materi transport,negative
vrtx vertex monthli lower hilow lo long term uptrend intract far,positive
financi detail disclos,neutral
includ softwar develop internet mobil telephon content commun valuead softwar financi servic secur applic system integr electron ebrd inform,neutral
yit lodg counter claim nest oil total eur25m primarili base work carri contract addit cost incur due prolong project,neutral
follow berkshir hathaway appl stock,neutral
total amount subscript price record fund invest nonrestrict equiti,neutral
tsla 5th wave 1 hour chart hammer candl develop close 200 sma might good spot call,positive
strongest growth seen new market russia czech republ slovakia,positive
tower engin creat 18 degre westward lean four time inclin lean tower pisa use diagrid structur align geometr use tekla structur bim build inform model softwar,neutral
amer bought salomon adida octob said job cut aim boost competit,neutral
acando ab acanb ss fell 89 percent 1335 kronor lowest close sinc dec 11,negative
measur suominen corpor aim ensur competit flexibl packag busi long term,positive
ifhedieshedi bullhorn334 znga short get nervou,positive
financi statement releas avail publish compani internet page,neutral
world glass come egypt invit visitor around world attend glass world exhibit 2009 regist,neutral
compar oper profit total eur 47 mn eur 51 mn correspond period 2005 repres 74 net sale,negative
raw materi come europ us paid euro us dollar sale take place rubl,neutral
adpnew may 4 2010 finnish cutleri hand tool maker fiskar oyj abp hel fisa said today net profit declin eur 129 million usd 17m first quarter 2010 eur 17 million correspond,neutral
maximum 666104 new share subscrib exercis b option 2004 stock option plan,neutral
inspect compani strateg strength weak,neutral
plan close date provid,neutral
lemminkainen group headquart helsinki finland oper sector construct industri civil engin build contract technic build servic build materi industri,neutral
implement deal subject approv finnish competit author,neutral
microsoft also churn courtship agre use navteq map servic offer compani nokia bought 81 billion year ago,positive
geosolut team provid intrigu new technolog combin gp mobilebas technolog togeth internetbas social network,neutral
3c expo signatur show dongguan support dongguan municip govern everi year featur comput accessori softwar commun network product,neutral
pharmaceut poland brandnew market analysi give clear overview actual situat futur outlook pharmaceut market poland,neutral
trade new share right dividend distribut fund start exchang helsinki tomorrow,neutral
dualfuel engin vessel oper liquefi natur ga lng low emiss,neutral
among finnish share trade us stora enso close 033 pct lower 1211 eur upmkymmen 028 pct 1810 eur metso 013 pct 3106 eur,neutral
addit present held presid ceo kai telann cfo tuoma itkonen particip opportun discuss member compani manag,neutral
chang hold accord chapter 2 section 9 finnish secur market act describ,neutral
capman partner abl develop busi continu focu provid qualiti restaur servic custom say christoph wynn ceo papa john russia,positive
crane would instal onboard two freighter order singaporean ship owner masterbulk,neutral
busi divest gener consolid net sale eur 60 million annual current 640 employe,neutral
adpnew feb 5 2010 finnish real estat investor sponda oyj hel sda1v said today slip net loss eur 815 million usd 118 2009 profit eur 293 million 2008,neutral
